track_name,Popularity,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (minutes),track_popularity_color,duration_mins_color,tempo_color
Adaptation,44.0,0.642,0.79,0.0681,0.151,0.000583,0.305,0.613,114.96,4.732216666666667,0.44,0.5832965263069234,0.5646781442640666
Blinding Lights,98.0,0.513,0.796,0.0629,0.00147,0.000209,0.0938,0.345,171.017,3.35955,0.98,0.41410061774174,0.8400275069381339
Call Out My Name,24.0,0.449,0.599,0.0369,0.211,0.0,0.327,0.165,134.144,3.806216666666667,0.24,0.4691570814322077,0.6589090551857947
Can't Feel My Face,80.0,0.705,0.769,0.0426,0.112,0.0,0.105,0.59,107.939,3.558666666666667,0.8,0.4386438853428601,0.5301913205786281
Can't Feel My Face - Martin Garrix Remix,56.0,0.608,0.722,0.107,0.00791,2.84e-05,0.315,0.121,128.009,4.21555,0.56,0.519611810844069,0.6287742220694058
Dark Times,69.0,0.501,0.403,0.0752,0.114,1.1e-05,0.124,0.27,132.608,4.344,0.69,0.5354446528463987,0.6513642950119115
Die For You,76.0,0.586,0.525,0.0615,0.111,0.0,0.134,0.508,133.629,4.33755,0.76,0.534649621075943,0.656379399268119
Echoes Of Silence,55.0,0.214,0.156,0.0443,0.951,0.00797,0.101,0.132,75.654,4.001116666666666,0.55,0.4931805995813244,0.37160891028317405
Gone,54.0,0.494,0.697,0.309,0.708,0.000405,0.0602,0.344,107.669,8.112883333333333,0.54,1.0,0.5288650932043126
Heartless,93.0,0.531,0.75,0.111,0.00632,7.6e-05,0.117,0.198,169.954,3.3346666666666667,0.93,0.41103347967122256,0.8348061006459219
Hurt You,17.0,0.484,0.716,0.167,0.3,0.00214,0.112,0.365,184.131,3.8337833333333333,0.17,0.47255496915399997,0.9044428617039565
I Feel It Coming,80.0,0.773,0.819,0.118,0.426,0.0,0.0679,0.585,92.99,4.48645,0.8,0.5530031452032056,0.4567625316206989
I Was Never There,17.0,0.324,0.735,0.0337,0.135,4.84e-05,0.169,0.169,113.923,4.017783333333333,0.17,0.4952349452414164,0.5595844487560478
Losers,62.0,0.666,0.485,0.0527,0.0355,0.000603,0.504,0.288,91.009,4.685783333333333,0.62,0.5775731192979069,0.4470319522558145
Often,76.0,0.569,0.629,0.0485,0.218,0.0,0.135,0.0726,134.035,4.150666666666667,0.76,0.5116142431893307,0.6583736522828302
Often - Kygo Remix,65.0,0.523,0.491,0.0491,0.123,0.0,0.331,0.408,80.156,3.9066666666666667,0.65,0.4815386227255826,0.3937225237615738
Pray For Me (with Kendrick Lamar),76.0,0.735,0.677,0.093,0.0762,2.17e-05,0.111,0.188,100.584,3.524,0.76,0.43437084636986856,0.49406390451162907
Prisoner,64.0,0.55,0.404,0.0398,0.441,0.00022,0.11,0.329,135.016,4.582666666666666,0.64,0.5648628826989172,0.6631922784095095
Privilege,16.0,0.391,0.595,0.0411,0.913,0.00557,0.145,0.379,93.78,2.8428833333333334,0.16,0.3504159022788857,0.46064297467888105
Same Old Song,55.0,0.771,0.56,0.0692,0.415,4.86e-05,0.536,0.389,109.978,5.2008833333333335,0.55,0.6410647262687126,0.5402067932313284
Secrets,71.0,0.665,0.771,0.0533,0.0155,9.6e-06,0.46,0.764,109.945,4.426666666666667,0.71,0.5456342073204554,0.5400446987744676
Sidewalks,70.0,0.542,0.721,0.0625,0.147,0.0,0.348,0.623,149.831,3.856,0.7,0.4752934119189027,0.7359628656335191
Six Feet Under,69.0,0.772,0.504,0.0761,0.129,0.0,0.125,0.244,140.035,3.95955,0.69,0.4880570615050548,0.6878453717120613
Starboy,84.0,0.678,0.588,0.276,0.141,6.35e-06,0.137,0.486,186.005,3.840883333333333,0.84,0.47343012040519916,0.913647862072353
Starboy - Kygo Remix,5.0,0.751,0.623,0.0939,0.209,0.0,0.168,0.383,93.01,4.078666666666667,0.05,0.5027394699377329,0.4568607706854631
Tears In The Rain,43.0,0.655,0.636,0.0453,0.109,0.237,0.0842,0.185,160.01,7.4108833333333335,0.43,0.9134709607969219,0.7859616376452095
Tell Your Friends,68.0,0.565,0.454,0.0461,0.265,0.0,0.181,0.312,74.809,5.572216666666667,0.68,0.6868355475755641,0.3674583097968907
The Hills,83.0,0.58,0.565,0.0488,0.0671,0.0,0.135,0.138,112.986,4.03755,0.83,0.4976713991942857,0.5549819485718496
The Hills - RL Grime Remix,51.0,0.571,0.897,0.0432,0.113,0.246,0.158,0.446,139.996,4.517783333333333,0.51,0.5568653150441787,0.6876538055357713
The Morning,70.0,0.652,0.549,0.039,0.317,0.0,0.104,0.186,120.073,5.207116666666667,0.7,0.641833051545587,0.5897929611710095
The Party & The After Party,60.0,0.438,0.634,0.337,0.476,0.0,0.113,0.397,203.585,7.65645,0.6,0.9437396897527186,1.0
The Zone,61.0,0.619,0.521,0.0744,0.26,0.000542,0.101,0.254,139.886,6.975116666666667,0.61,0.8597580391681544,0.6871134906795687
Till Dawn (Here Comes The Sun),53.0,0.697,0.542,0.0437,0.821,0.000452,0.134,0.547,99.988,5.328216666666667,0.53,0.6567599271118161,0.49113638038165874
True Colors,69.0,0.624,0.424,0.24,0.284,0.0,0.173,0.584,76.669,3.43355,0.69,0.4232219124725488,0.3765945428199523
Try Me,19.0,0.466,0.672,0.068,0.622,0.00108,0.147,0.108,91.673,3.6851166666666666,0.19,0.4542302058659786,0.4502934892059828
Twenty Eight,61.0,0.639,0.633,0.0352,0.574,0.000218,0.111,0.243,129.996,4.30755,0.61,0.5309517988877773,0.6385342731537196
Valerie,62.0,0.641,0.539,0.0463,0.346,7.04e-06,0.0837,0.436,148.004,4.778,0.62,0.5889398138351963,0.7269887270673182
Wasted Times,18.0,0.562,0.674,0.0851,0.622,2.04e-05,0.111,0.293,122.699,3.67155,0.18,0.4525579684986637,0.6026917503745364
